GoldLabel,Premise,Hypothesis,PairID,PremiseSubj,PremiseRel,PremiseObj,HypothesisSubj,HypothesisRel,HypothesisObj
contradiction,Three children are playing at the beach.,Childrens are lying at the beach,331597537.jpg#3r1c,Three children,are playing,at the beach,Childrens,are lying,at the beach
contradiction,"The knights, said Ca'daan.",Ca'daan is a knight.,53836c,The knights,said,Ca'daan,Ca'daan,is,a knight
entailment,Construction workers are working in a tunnel.,The people are working in a tunnel.,2541483099.jpg#3r1e,Construction workers,are working,in a tunnel,The people,are working,in a tunnel
contradiction,Three men are cooking food outdoors.,The three men are indoors.,2645694063.jpg#3r1c,Three men,are cooking outdoors,food,The three men,are,indoors
neutral,A band performing at a show.,The band is at the shoq,51691739.jpg#3r1n,A band,performing,at a show,The band,is,at the shoq
neutral,That goddamned hamster dance.,The dancing animal was really cute.,95750n,That,goddamned,hamster dance,The dancing animal,was,really cute
entailment,Arelated issue is presidential pardons.,Presidential pardons are related.,14786e,Arelated issue,is,presidential pardons,Presidential pardons,are,related
entailment,A bird flying over some sand.,A bird flying over.,3229442620.jpg#4r1e,A bird,flying,over some sand,A bird,flying,over
entailment,He wished to be arrested. ,He wanted to be taken into custody.,118924e,He,wished,to be arrested,He,to be taken,into custody
neutral,Two men playing the guitar.,Two men rehearse their favorite song.,40793390.jpg#4r1n,Two men,playing,the guitar,Two men,rehearse,their favorite song
contradiction,A crowd is assembled in a street.,A man is sitting in the street.,2508851882.jpg#3r1c,A crowd,is assembled,in a street,A man,is sitting,in the street
entailment,Mrs. Cavendish was coming down the stairs. ,Ms. Cavendish had been upstairs.,39011e,Mrs. Cavendish,was coming,down the stairs,Ms. Cavendish,had been,upstairs
entailment,Two people are cleaning up a watery area.,A watery area is being cleaned by two people.,5415070045.jpg#3r1e,Two people,are cleaning up,a watery area,A watery area,is being cleaned,by two people
contradiction,A horse jockey is riding on a course.,A horse is running away.,3583704941.jpg#1r1c,A horse jockey,is riding,on a course,A horse,is running,away
entailment,Two men talking on the beach.,Two men having a conversation.,4982173955.jpg#4r1e,Two men,talking,on the beach,Two men,having,a conversation
contradiction,A child is walking through a doorway.,The child is a bear,2121436056.jpg#4r1c,A child,is walking,through a doorway,The child,is,a bear
neutral,A man sits alone on a bench.,A man waits for his ride.,4922712943.jpg#4r3n,A man,sits alone,on a bench,A man,waits,for his ride
entailment,A Buddhist monk is mopping the dirty ground.,The monk is carrying a mop.,5920741851.jpg#3r1e,A Buddhist monk,is mopping,the dirty ground,The monk,is carrying,a mop
neutral,A blond man passionately sings into the microphone.,A man is singing his favorite song.,1733671069.jpg#1r5n,A blond man,passionately sings,into the microphone,A man,is singing,his favorite song
contradiction,"man playing cricket, hits the red ball.",A man is hitting a baseball.,3609999845.jpg#2r1c,man playing cricket,hits,the red ball,A man,is hitting,a baseball
entailment,a man wearing a orange coat,A man has a coat,4455999741.jpg#4r1e,a man,wearing,a orange coat,A man,has,a coat
entailment,"You suppose wrong, said the lawyer.",The lawyer told him that his assumptions were wrong.,57992e,You suppose wrong,said,the lawyer,his assumptions,were,wrong
contradiction,A blond child is eating a blue cupcake.,A child is learning trigonometry.,3899294432.jpg#4r1c,A blond child,is eating,a blue cupcake,A child,is learning,trigonometry
neutral,Several students are working in a classroom,Students are taking a test.,4017747090.jpg#3r1n,Several students,are working,in a classroom,Students,are taking,a test
entailment,A military branch prepare for their duties.,a child was there,304988555.jpg#4r1e,A military branch,prepare,for their duties,a child,was,there
contradiction,A person sleeping with a newspaper.,A person is reading a newspaper.,4811895528.jpg#3r1c,A person,sleeping,with a newspaper,A person,is reading,a newspaper
contradiction,A couple sitting on the stairs.,A couple is playing tennis.,4967329396.jpg#4r1c,A couple,sitting,on the stairs,A couple,is playing,tennis
entailment,You ask an impossibility.,You are asking me to do something that's impossible. ,88101e,You,ask,an impossibility,me,to do,something that's impossible
contradiction,A girl is looking through a microscope.,A man is looking at bacteria.,5904834587.jpg#2r1c,A girl,is looking,through a microscope,A man,is looking,at bacteria
contradiction,A woman splashes in the water.,A man glides underwater.,2704934519.jpg#4r1c,A woman,splashes,in the water,A man,glides,underwater
neutral,Two children are laughing in the grass.,Some children are crying in the grass.,1220401002.jpg#2r3n,Two children,are laughing,in the grass,Some children,are crying,in the grass
neutral,Five men are playing lacrosse on a field.,Two teams are contesting a championship.,379505240.jpg#3r1n,Five men,are playing lacrosse,on a field,Two teams,are contesting,a championship
entailment,(PBS previews the series.),The series is previewed by PBS.,87909e,PBS,previews,the series,The series,is previewed,by PBS
neutral,Young people are working in a laboratory.,The people are doing an experiment.,7027883609.jpg#3r1n,Young people,are working,in a laboratory,The people,are doing,an experiment
entailment,Several girls are playing darts.,Girls are playing a bar game.,1405005999.jpg#4r1e,Several girls,are playing,darts,Girls,are playing,a bar game
contradiction,My predecessors were here.,No one else has been there.,33315c,My predecessors,were,here,No one else,has been,there
contradiction,Three young ladies chatting out on the patio.,Three young ladies are scoring drugs.,426994291.jpg#2r1c,Three young ladies,chatting out,on the patio,Three young ladies,are scoring,drugs
contradiction,Young girl is getting her hair combed.,the girl is dead,3464368184.jpg#4r1c,Young girl,is getting,her hair combed,the girl,is,dead
entailment,A young man is surfing the waves.,A young man is outside surfing,7052777683.jpg#4r1e,A young man,is surfing,the waves,A young man,is,outside surfing
entailment,Her cry brought the others.,The others responded to her cry. ,71615e,Her cry,brought,the others,The others,responded,to her cry
entailment,A young child splashing in water.,A young child is wet.,1118557877.jpg#3r4e,A young child,splashing,in water,A young child,is,wet
entailment,"They're demon-touched, said Thorn.",Thorn thought poorly of them.,41231e,They're demon-touched,said,Thorn,Thorn,thought poorly,of them
entailment,A man is talking about Hawaii.,A man is discussing a topic.,4771908421.jpg#3r1e,A man,is talking,about Hawaii,A man,is discussing,a topic
neutral,bearded man rides a bus,A man taking public transportation,864290968.jpg#4r1n,bearded man,rides,a bus,A man,taking,public transportation
contradiction,Much has changed in recent times.,Nothing has changed in modern times.,104909c,Much,has changed,in recent times,Nothing,has changed,in modern times
entailment,Man playing on the drums.,A man is playing an instrument.,4676717700.jpg#4r1e,Man,playing,on the drums,A man,is playing,an instrument
entailment,An athlete is jumping over a hurdle.,a person jumping over hurdles,6225280494.jpg#3r1e,An athlete,is jumping,over a hurdle,a person,jumping,over hurdles
neutral,The children play an indoor game.,The children are playing Clue.,2169067981.jpg#4r1n,The children,play,an indoor game,The children,are playing,Clue
entailment,two dogs running in grassy area,The two dogs are outdoors.,3346711367.jpg#4r1e,two dogs,running,in grassy area,The two dogs,are,outdoors
contradiction,A girl is running on the grass.,boy eats cotton candy,4907785038.jpg#4r1c,A girl,is running,on the grass,boy,eats,cotton candy
entailment,I was embarrassed for you.,I felt really bad for you.,133041e,I,was,embarrassed for you,I,felt,really bad
entailment,"They are fools, Ca'daan said.",Ca'daan stated they were all fools.,99675e,They are fools,said,Ca'daan,they,were,all fools
entailment,A hospital staff watching something.,The hospital staff is attentive to something.,3856985464.jpg#3r5e,A hospital staff,watching,something,The hospital staff,is,attentive to something
contradiction,A baseball catcher has a  The backstop.,A baseball catcher has nothing. ,85234c,A baseball catcher,has,a  The backstop,A baseball catcher,has,nothing
neutral,A child is playing in the snow.,A child is throwing a snow ball.,5196768578.jpg#4r1n,A child,is playing,in the snow,A child,is throwing,a snow ball
entailment,Several people gathered around arcade machines.,A crowd watches an arcade machine.,1503230955.jpg#4r1e,Several people,gathered,around arcade machines,A crowd,watches,an arcade machine
contradiction,Hundreds of people gathered at an event.,Nobody showed up to the event,2728607980.jpg#4r3c,Hundreds of people,gathered,at an event,Nobody,showed up,to the event
neutral,Young girls running in a race.,Friends are running in a race.,55438559.jpg#3r1n,Young girls,running,in a race,Friends,are running,in a race
entailment,Some construction workers are taking a break.,Workers take a break.,1196432301.jpg#3r4e,Some construction workers,are taking,a break,Workers,take,a break
contradiction,The brown dog is wearing a black collar.,An animal wearing a white collar.,1745110280.jpg#4r1c,The brown dog,is wearing,a black collar,An animal,wearing,a white collar
contradiction,The water is very calm.,A surfer is riding this water's waves.,vg_len86r3c,The water,is,very calm,A surfer,is riding,this water's waves
neutral,A person is rock climbing.,the person is up high,136639119.jpg#4r1n,A person,is,rock climbing,the person,is,up high
entailment,A couple is attending a concert.,People are at a concert.,1287768104.jpg#4r1e,A couple,is attending,a concert,People,are,at a concert
contradiction,Several people dancing outside a building.,A man is looking at some paintings.,5829827359.jpg#4r1c,Several people,dancing,outside a building,A man,is looking,at some paintings
contradiction,Children are learning about a firetruck.,The children are firemen.,534318261.jpg#4r5c,Children,are learning,about a firetruck,The children,are,firemen
neutral,An employee is vacuuming a building model.,The building model is very large.,5885865851.jpg#3r1n,An employee,is vacuuming,a building model,The building model,is,very large
contradiction,Three young people play asian drums.,Three people are playing the cymbals.,4546918010.jpg#4r1c,Three young people,play,asian drums,Three people,are playing,the cymbals
neutral,Two young men playing instruments.,The men are warming up before a concert.,128128618.jpg#4r1n,Two young men,playing,instruments,The men,are warming up,before a concert
contradiction,Young woman standing above a crowd.,A woman is seated at a table.,3545793128.jpg#4r1c,Young woman,standing,above a crowd,A woman,is seated,at a table
entailment,A man is laughing with a baby.,A man laughs with a baby.,2368008984.jpg#3r1e,A man,is laughing,with a baby,A man,laughs,with a baby
neutral,Four older people are sitting on a bench.,people had long walk,17185253.jpg#2r1n,Four older people,are sitting,on a bench,people,had,long walk
contradiction,Two dogs playing in the snow.,The dogs are sleeping in the beds.,3385593926.jpg#3r2c,Two dogs,playing,in the snow,The dogs,are sleeping,in the beds
contradiction,some people are practicing juggling.,The police arrested a juggler.,4770236023.jpg#4r1c,some people,are practicing,juggling,The police,arrested,a juggler
entailment,A golden dog plays in the snow,A dog is outside.,2085400856.jpg#1r1e,A golden dog,plays,in the snow,A dog,is,outside
entailment,A man kayaks in rough water.,The man has a paddle.,146577646.jpg#4r1e,A man,kayaks,in rough water,The man,has,a paddle
contradiction,Three young boys tossing a watermelon.,The boys are doing chores.,3876652419.jpg#4r1c,Three young boys,tossing,a watermelon,The boys,are doing,chores
contradiction,Sumo wrestlers pushing against each other.,Boxers are hitting each other.,3266261886.jpg#1r1c,Sumo wrestlers,pushing,against each other,Boxers,are hitting,each other
contradiction,Three people are enjoying on ice.,Two people are enjoying on ice.,3291979978.jpg#4r1c,Three people,are enjoying,on ice,Two people,are enjoying,on ice
entailment,A flight attendant is demonstrating safety devices.,A flight attendant is putting on a show,2487069642.jpg#2r1e,A flight attendant,is demonstrating,safety devices,A flight attendant,is putting on,a show
contradiction,Some young boys hang out around their car.,Some young boys are in the library.,3504158556.jpg#4r1c,Some young boys,hang out,around their car,Some young boys,are,in the library
neutral,A person is building a fence.,A man builds a small fence.,2656941282.jpg#4r1n,A person,is building,a fence,A man,builds,a small fence
entailment,A smiling man looking at the sky.,The man is looking at the sky.,10082347.jpg#4r1e,A smiling man,looking,at the sky,The man,is looking,at the sky
neutral,A man is skateboarding in a city.,The man is having fun.,4267417965.jpg#4r1n,A man,is skateboarding,in a city,The man,is having,fun
neutral,An older man reading a book.,A person is reading a novel.,4671540511.jpg#4r4n,An older man,reading,a book,A person,is reading,a novel
neutral,The dog ran in the field.,The dog is playing fetch.,267836606.jpg#3r1n,The dog,ran,in the field,The dog,is playing,fetch
entailment,His self-control was astonishing. ,He has amazing self-control.,70667e,His self-control,was,astonishing,He,has,amazing self-control
contradiction,A baseball player runs on the field.,The players are leaving the field.,2662262499.jpg#4r1c,A baseball player,runs,on the field,The players,are leaving,the field
contradiction,Someone is preparing a meal.,The person is digging a grave.,3831892579.jpg#4r1c,Someone,is preparing,a meal,The person,is digging,a grave
contradiction,Two women cross the street together.,Two women are jogging in the gym.,2076208076.jpg#4r1c,Two women,cross together,the street,Two women,are jogging,in the gym
contradiction,This marketplace is very busy.,A marketplace is empty.,3176277818.jpg#2r1c,This marketplace,is,very busy,A marketplace,is,empty
contradiction,A person is standing near a waterfront.,The person is sitting by the lake.,4808499305.jpg#3r1c,A person,is standing,near a waterfront,The person,is sitting,by the lake
contradiction,A snowboarder crashes into another.,A skiier does not crash into anything.,2192333873.jpg#4r1c,A snowboarder,crashes,into another,A skiier,does not crash,into anything
contradiction,A dog running on the beach.,A dog is being petted by a stranger.,2555622234.jpg#4r1c,A dog,running,on the beach,A dog,is being petted,by a stranger
entailment,i know i agree,I am aware of that and concur with that.,137619e,i,know,i agree,I,am,aware of that
entailment,Two soldiers stand with children.,The soldiers are standing with the children.,2573969957.jpg#4r1e,Two soldiers,stand,with children,The soldiers,are standing,with the children
neutral,A wire signed with your name? ,Your name is a long one. ,141898n,A wire,signed,with your name,Your name,is,a long one
neutral,a black dog runs on a platform.,The dog is a Laborador Retriever.,251056963.jpg#4r1n,a black dog,runs,on a platform,The dog,is,a Laborador Retriever
entailment,A little boy is hanging off a red playground.,A little boy is playing in the playground,3738789925.jpg#2r1e,A little boy,is hanging off,a red playground,A little boy,is playing,in the playground
entailment,A man plays tennis.,A man is playing tennis.,3428386573.jpg#4r2e,A man,plays,tennis,A man,is playing,tennis
neutral,An older man picking flowers.,An older man picking flowers.,4745081059.jpg#3r1n,An older man,picking,flowers,An older man,picking,flowers
contradiction,People are running from a fire.,A shark is swimming near shore.,2858793859.jpg#4r4c,People,are running,from a fire,A shark,is swimming,near shore
entailment,Four young boys are standing around a grill.,Four young boys are standing in a group.,12252043.jpg#2r4e,Four young boys,are standing,around a grill,Four young boys,are standing,in a group
entailment,We have no such training.,We aren't trained in that.,71848e,We,have,no such training,We,are n't trained,in that
contradiction,Three people are attending an event.,Twenty people are going to the movies.,2341283462.jpg#4r1c,Three people,are attending,an event,Twenty people,are going,to the movies
neutral,The Fat Man could see my blossoming disbelief.,The Fat Man could read me well.,139928n,The Fat Man,could see,my blossoming disbelief,The Fat Man,could read well,me
entailment,"That's better, said Miss Howard more enthusiastically. ",Miss Howard was more enthusiastic and said it was better. ,61875e,That's better,said more enthusiastically,Miss Howard,Miss Howard,was,more enthusiastic
entailment,A kid is riding on a skateboard.,A kid is riding a skateboard,7586821496.jpg#4r1e,A kid,is riding,on a skateboard,A kid,is riding,a skateboard
contradiction,I showed them.,I refused to show them.,46790c,I,showed,them,I,refused,to show them
neutral,Dog kicking up dirt,A dog is burying a bone.,1541272333.jpg#4r5n,Dog,kicking up,dirt,A dog,is burying,a bone
neutral,A little boy trying to solder something.,The little boy wants something for himself.,2339331195.jpg#3r1n,A little boy,trying to solder,something,The little boy,wants,something for himself
neutral,Women weaving colored yarn.,women making a blanket.,4375860427.jpg#4r1n,Women,weaving,colored yarn,women,making,a blanket
neutral,A person has rolled a bowling ball.,The person goes bowling every Friday.,7525845590.jpg#4r1n,A person,has rolled,a bowling ball,The person,goes bowling,every Friday
entailment,People wandering a city street.,Many people wander the city street.,4726413723.jpg#4r1e,People,wandering,a city street,Many people,wander,the city street
contradiction,a man plays the bagpipes.,A woman plays an instrument.,3708748633.jpg#3r1c,a man,plays,the bagpipes,A woman,plays,an instrument
contradiction,A child is pointing at a typewriter.,The child wants a typewriter.,180524168.jpg#4r1c,A child,is pointing,at a typewriter,The child,wants,a typewriter
neutral,a brown dog jumping into the beach,A dog is jumping in the air,2552949275.jpg#2r1n,a brown dog,jumping,into the beach,A dog,is jumping,in the air
contradiction,Interlocking boards are also fairly common.,Interlocking boards are unwanted.,77952c,Interlocking boards,are also,fairly common,Interlocking boards,are,unwanted
contradiction,Two basketball players watching the ball.,The players are watching the shotclock.,2285152690.jpg#3r1c,Two basketball players,watching,the ball,The players,are watching,the shotclock
contradiction,Price includes breakfast.,The price includes no meals.,136256c,Price,includes,breakfast,The price,includes,no meals
contradiction,many people looking at a ship.,People watching a circus act.,2561310673.jpg#4r1c,many people,looking,at a ship,People,watching,a circus act
neutral,A couple look at some artwork.,The couple is at a museum.,3371567346.jpg#4r1n,A couple,look,at some artwork,The couple,is,at a museum
entailment,A construction worker is fixing a large machine.,The worker is using his hands.,6876946433.jpg#4r2e,A construction worker,is fixing,a large machine,The worker,is using,his hands
entailment,An Italian man playing a sport.,A man is getting exercise.,7465714818.jpg#4r1e,An Italian man,playing,a sport,A man,is getting,exercise
neutral,A woman is looking at clothing.,The woman is shopping.,4653229880.jpg#4r1n,A woman,is looking,at clothing,The woman,is,shopping
entailment,A white lady speaking into microphone.,A lady is using a microphone.,3085590738.jpg#2r1e,A white lady,speaking,into microphone,A lady,is using,a microphone
neutral,Asian fisherman standing in a boat.,An asian man is fishing in the ocean,2782031648.jpg#4r1n,Asian fisherman,standing,in a boat,An asian man,is fishing,in the ocean
neutral,Children are swimming in shallow water.,Children are learning to swim,4679736464.jpg#4r1n,Children,are swimming,in shallow water,Children,are learning,to swim
entailment,People would flock to see me.,People would come to see me.,86525e,People,would flock,to see me,People,would come,to see me
entailment,The man is holding the chainsaw.,The man holds something big.,3290025108.jpg#4r1n,The man,is holding,the chainsaw,The man,holds,something big
contradiction,A little girl sitting on bleachers.,The girl is playing football.,4804927109.jpg#3r1c,A little girl,sitting,on bleachers,The girl,is playing,football
entailment,Two boys pulling a wagon.,The boys were pulling a wagon.,2716903793.jpg#3r1e,Two boys,pulling,a wagon,The boys,were pulling,a wagon
entailment,That is all. ,This is everything. ,93173e,That,is,all,This,is,everything
neutral,Silence filled the clearing.,The clearing was filled with ominous silence.,142249n,Silence,filled,the clearing,The clearing,was filled,with ominous silence
contradiction,A young man standing on a patio.,An old man is sitting on the patio.,958317706.jpg#4r1c,A young man,standing,on a patio,An old man,is sitting,on the patio
contradiction,The horse gallops around the field.,A horse walking down the road.,3138562460.jpg#3r1c,The horse,gallops,around the field,A horse,walking,down the road
neutral,A white dog walking beside a bicycler.,A white dog is named Tack.,1923476156.jpg#3r4n,A white dog,walking,beside a bicycler,A white dog,is named,Tack
contradiction,A little girl looking through a camera.,Buzz Lightyear wrestles Cthulu.,3337945724.jpg#3r1c,A little girl,looking,through a camera,Buzz Lightyear,wrestles,Cthulu
entailment,Young man climbing over a handrail.,A young man climbs a handrail.,3039133846.jpg#4r1e,Young man,climbing,over a handrail,A young man,climbs,a handrail
entailment,We are armed.  ,We have weapons.,64179e,We,are,armed,We,have,weapons
entailment,The man is wearing a spiderman outfit.,The man is wearing a spiderman outfit.,3417662443.jpg#4r1e,The man,is wearing,a spiderman outfit,The man,is wearing,a spiderman outfit
neutral,She spoke only in monosyllables.,She was having great difficulty speaking.,28609n,She,spoke,only in monosyllables,She,was having,great difficulty speaking
contradiction,A skier navigates his path downhill.,the skier is on a snowboard,vg_verb24r2c,A skier,navigates downhill,his path,the skier,is,on a snowboard
entailment,People are socializing outside a bookstore.,People stand by a bookstore.,4857840142.jpg#3r1e,People,are socializing,outside a bookstore,People,stand,by a bookstore
entailment,a football player getting tackle,Some people are playing football.,241347067.jpg#3r1e,a football player,getting,tackle,Some people,are playing,football
entailment,A person jogging on a sidewalk.,A person is outside.,3208188198.jpg#3r1e,A person,jogging,on a sidewalk,A person,is,outside
contradiction,It was a strong business.,It was a weak business.,50254c,It,was,a strong business,It,was,a weak business
entailment,Two young children playing outside.,Two kids are playing outside.,111201721.jpg#4r4e,Two young children,playing,outside,Two kids,are playing,outside
entailment,a guy working on hard stairs.,there is someone working on the stairway,3936422227.jpg#3r1e,a guy,working,on hard stairs,someone,working,on the stairway
entailment,People running on a street.,People are running down the road,4071416825.jpg#4r1e,People,running,on a street,People,are running,down the road
entailment,The scuba diver is underwater.,A person is swimming.,1479857177.jpg#3r2e,The scuba diver,is,underwater,A person,is,swimming
entailment,Two women standing outside community library,Two woman are standing outside.,3728164558.jpg#1r1e,Two women,standing,outside community library,Two woman,are standing,outside
entailment,Three dogs wearing colored outfits running.,Dogs are wearing outfits.,3436395540.jpg#4r1e,Three dogs,wearing,colored outfits running,Dogs,are wearing,outfits
entailment,Julius looked back.,Julius turned his head.,73478e,Julius,looked,back,Julius,turned,his head
entailment,Two children are skating quickly on ice.,Two kids are outside skating.,2288099178.jpg#3r1e,Two children,are skating quickly,on ice,Two kids,are,outside skating
contradiction,Two musicians are making music.,Two musicians talk after a concert.,3048071554.jpg#4r1c,Two musicians,are making,music,Two musicians,talk,after a concert
neutral,Children playing in a fountain.,The fountain is beautiful,3021435473.jpg#4r1n,Children,playing,in a fountain,The fountain,is,beautiful
entailment,Two puppies wrestle with each other,The two animals are dogs.,1511807116.jpg#2r1e,Two puppies,wrestle,with each other,The two animals,are,dogs
neutral,Four dogs playing in the snow.,Dogs are running through the snow.,2333584535.jpg#4r1n,Four dogs,playing,in the snow,Dogs,are running,through the snow
contradiction,Two nuns are standing outside.,Two nuns are driving a car,4752074240.jpg#3r1c,Two nuns,are standing,outside,Two nuns,are driving,a car
neutral,That young lady irons her clothes.,The young lady is doing her laundry.,2622702783.jpg#4r1n,That young lady,irons,her clothes,The young lady,is doing,her laundry
contradiction,"He's my cousin, Drew returned.",Drew does not have a cousin.,118211c,He's my cousin,returned,Drew,Drew,does not have,a cousin
neutral,A police officer keeps watch a parade.,The police officer is in the parade,421706022.jpg#4r1n,A police officer,keeps,watch a parade,The police officer,is,in the parade
entailment,Shirtless construction worker builds interior of home.,The construction worker is working on a house.,1441148458.jpg#4r4e,Shirtless construction worker,builds,interior of home,The construction worker,is working,on a house
neutral,A man is speaking into a microphone.,the man is an agent,5103801187.jpg#4r2n,A man,is speaking,into a microphone,the man,is,an agent
contradiction,A woman is washing dishes.,A woman washes her car.,3042612760.jpg#4r1c,A woman,is,washing dishes,A woman,washes,her car
contradiction,Three Asian people are playing musical instruments.,Three Asian youngsters are playing volleyball.,3175923463.jpg#3r1c,Three Asian people,are playing,musical instruments,Three Asian youngsters,are playing,volleyball
entailment,A guy rollerskating on a rail.,A guy is outside.,5708913531.jpg#4r1e,A guy,rollerskating,on a rail,A guy,is,outside
neutral,A brunette man is welding a stair rail.,The man is fixing the stair rail.,2180726636.jpg#2r4n,A brunette man,is welding,a stair rail,The man,is fixing,the stair rail
contradiction,A small boy rubbing his eyes.,A little girl is rubbing her eyes.,3338289816.jpg#4r1c,A small boy,rubbing,his eyes,A little girl,is rubbing,her eyes
neutral,A man sitting alone at a table.,The man is sitting in a chair.,212525046.jpg#4r1n,A man,sitting alone,at a table,The man,is sitting,in a chair
entailment,Two men outdoors working on a bicycle.,People trying to fix something,461085759.jpg#2r1e,Two men outdoors,working,on a bicycle,People,trying,to fix something
entailment,A man is walking along a beach.,A person is walking along a beach.,336674932.jpg#4r1e,A man,is walking,along a beach,A person,is walking,along a beach
entailment,Man wearing black smokes a cigarette.,A man is smoking.,4575535313.jpg#4r1e,Man wearing black,smokes,a cigarette,A man,is,smoking
entailment,A Chinese family are shopping in the mall together.,A family are shopping in the mall together.,4556218676.jpg#2r1e,A Chinese family,are shopping together,in the mall,A family,are shopping together,in the mall
entailment,Various men are working out in a gym.,Various men are in the gym.,6927430969.jpg#4r1e,Various men,are working out,in a gym,Various men,are,in the gym
contradiction,The people are making hand gestures.,The people are holding hands.,3417037373.jpg#4r1c,The people,are making,hand gestures,The people,are holding,hands
entailment,A man is making cotton candy.,A man is making candy.,86120374.jpg#4r1e,A man,is making,cotton candy,A man,is making,candy
contradiction,A motorcycle racer is riding a black motorcycle.,The motorcycle is red.,2783620390.jpg#1r1c,A motorcycle racer,is riding,a black motorcycle,The motorcycle,is,red
neutral,A person checks medical instruments.,the instruments are in the hospital,4688351939.jpg#4r1n,A person,checks,medical instruments,the instruments,are,in the hospital
entailment,A dachshund puppy jumps on a bed.,A dog is in the air.,418796494.jpg#3r1e,A dachshund puppy,jumps,on a bed,A dog,is,in the air
contradiction,He comes back,He is gone forever.,69796c,He,comes,back,He,is gone,forever
neutral,Young boy is dressed for cold weather.,A boy is playing dress up,113032513.jpg#4r3n,Young boy,is dressed,for cold weather,A boy,is playing up,dress
contradiction,The two dogs are running on the grass.,The dogs are laying on the grass,3537806062.jpg#3r1c,The two dogs,are running,on the grass,The dogs,are laying,on the grass
contradiction,A black guy smoking a cigarette.,The guy is white,2316097768.jpg#4r1c,A black guy,smoking,a cigarette,The guy,is,white
entailment,The Democrats : The Disgruntled Pragmatists lead the Democrats.,The dems are lead by unhappy realists.,111670e,The Disgruntled Pragmatists,lead,the Democrats,The dems,are lead,by unhappy realists
entailment,A male is walking down the street.,A man is on a street.,4406616207.jpg#4r1e,A male,is walking,down the street,A man,is,on a street
neutral,a small dog jumps over a jump.,the dog is a shitzu,2684489465.jpg#4r1n,a small dog,jumps,over a jump,the dog,is,a shitzu
contradiction,A military man aiming his gun.,War protester holding a protest sign.,4685135402.jpg#4r1c,A military man,aiming,his gun,War protester,holding,a protest sign
entailment,I feel good.,I'm fine.,15492e,I,feel,good,I,'m,fine
entailment,A woman is shoeing a horse.,The woman is with a horse.,11382381.jpg#4r4e,A woman,is shoeing,a horse,The woman,is,with a horse
contradiction,A dog stands in water.,The cat stood in water.,343073813.jpg#4r1c,A dog,stands,in water,The cat,stood,in water
neutral,A small child running on the beach,The sun is shining on the beach.,3436418401.jpg#4r1n,A small child,running,on the beach,The sun,is shining,on the beach
entailment,Kids running across the grass.,The kids are outside.,1449370354.jpg#3r1e,Kids,running,across the grass,The kids,are,outside
entailment,Two men are standing underneath a waterfall.,Two friends are enjoying a waterfall,4017105582.jpg#2r1e,Two men,are standing,underneath a waterfall,Two friends,are enjoying,a waterfall
entailment,Touting Forbes would hold back the McCain wave.,Forbes would hold back McCain's wave.,29227e,Touting Forbes,would hold back,the McCain wave,Forbes,would hold back,McCain's wave
entailment,A model is being photographed in a street.,A person is being photographed in a street.,4577047554.jpg#4r1e,A model,is being photographed,in a street,A person,is being photographed,in a street
contradiction,Two friends prepare to go mountain biking.,Two friends are preparing to go fishing.,304448536.jpg#4r1c,Two friends,prepare to go,mountain biking,Two friends,are preparing,to go fishing
contradiction,A smiling woman playing the harp.,A smiling woman is dancing on the stage,1295476404.jpg#3r1c,A smiling woman,playing,the harp,A smiling woman,is dancing,on the stage
neutral,Protesters march to oppose some city measure.,People march outdoors.,3093728951.jpg#2r1n,Protesters,march to oppose,some city measure,People,march,outdoors
contradiction,Two dogs playing on grass.,The pets are asleep,1778020185.jpg#3r2c,Two dogs,playing,on grass,The pets,are,asleep
entailment,A homeless man holding a sign.,The man is in need.,1192725687.jpg#3r2e,A homeless man,holding,a sign,The man,is,in need
contradiction,Construction workers are unwinding some cable.,Workers are taking a nap.,3784574313.jpg#4r1c,Construction workers,are unwinding,some cable,Workers,are taking,a nap
entailment,A younger guy enjoying waterskiing.,A younger person enjoying waterskiing.,7638480444.jpg#4r1e,A younger guy,enjoying,waterskiing,A younger person,enjoying,waterskiing
contradiction,A brown dog is gallopsing through the grass.,The doggy is sleeping on the porch.,3467941308.jpg#2r1c,A brown dog,is gallopsing,through the grass,The doggy,is sleeping,on the porch
entailment,Mimes are playing tug-of-war.,People are playing tug-of-war.,1394673080.jpg#4r2e,Mimes,are playing,tug-of-war,People,are playing,tug-of-war
contradiction,A child shows off their snow shovel.,A man eat some flowers.,4199552427.jpg#4r1c,A child,shows off,their snow shovel,A man,eat,some flowers
entailment,A child is looking at an exhibit.,A child is looking at something.,12668600.jpg#4r2e,A child,is looking,at an exhibit,A child,is looking,at something
contradiction,The shack felt different.,The mansion had many familiar rooms. ,41135c,The shack,felt,different,The mansion,had,many familiar rooms
contradiction,An Asian couple is walking through a store.,The couple is running through the store.,4919039815.jpg#2r1c,An Asian couple,is walking,through a store,The couple,is running,through the store
entailment,A baby crawls at a playground.,An infant is at a playground.,3387630781.jpg#4r1e,A baby,crawls,at a playground,An infant,is,at a playground
neutral,A model is being photographed in a street.,A sad model is being photographed in a street.,4577047554.jpg#4r1n,A model,is being photographed,in a street,A sad model,is being photographed,in a street
contradiction,The Jews are Space Aliens.,Jews are from Earth.,121572c,The Jews,are,Space Aliens,Jews,are,from Earth
